CO_13 2.19182 1.32287	CO_13 -2.08898292846
CO_140 3.28879 2.41703	CO_140 -2.40766014583
CO_216 1.84478 0.489291	CO_216 -1.76963858837
CO_220 1.93418 0.481255	CO_220 -2.65485616569
CO_8 1.98512 0.693583	CO_8 -2.0284194641
CO_89 2.44086 1.12283	CO_89 -1.87544549498
CO_9 2.37981 1.96783	CO_9 -2.06248333123
C_115 nan nan	C_115 -2.18378028128
C_13 2.19823 nan	C_13 -2.08898292846
C_132 2.37579 nan	C_132 -2.411037954
C_139 nan nan	C_139 -2.60253218583
C_140 3.28879 nan	C_140 -2.46178208509
C_142 1.84033 nan	C_142 -2.29348311047
C_15 nan nan	C_15 -2.57917147116
C_157 2.69262 nan	C_157 -2.08534725053
C_158 1.76886 nan	C_158 -1.52401394579
C_165 1.85504 nan	C_165 -2.2006550523
C_17 1.60868 nan	C_17 -2.16197198629
C_18 nan nan	C_18 -2.17662093533
C_19 1.91776 nan	C_19 -2.35119644899
C_203 2.21097 nan	C_203 -3.01768302448
C_206 nan nan	C_206 -2.34750099509
C_207 nan nan	C_207 -2.12547277954
C_208 nan nan	C_208 -1.9904844825
C_209 1.9171 nan	C_209 -1.9675219361
C_210 nan nan	C_210 -1.97670394655
C_211 nan nan	C_211 -2.83018093639
C_212 nan nan	C_212 -2.1915569058
C_213 nan nan	C_213 -2.12643199446
C_214 nan nan	C_214 -2.14494466676
C_215 nan nan	C_215 -2.04852759609
C_216 1.84478 nan	C_216 -1.76962849575
C_217 nan nan	C_217 -1.88991166282
C_219 nan nan	C_219 -2.55090581846
C_220 2.02126 nan	C_220 -2.65485616569
C_221 2.62058 nan	C_221 -2.43839076265
C_222 1.5244 nan	C_222 -2.15442003488
C_223 nan nan	C_223 -1.86212397591
C_224 nan nan	C_224 -2.67125067346
C_225 nan nan	C_225 -2.162923067
C_226 nan nan	C_226 -2.00477476509
C_227 nan nan	C_227 -2.56695488191
C_229 nan nan	C_229 -1.92303177596
C_59 nan nan	C_59 -2.02376552991
C_68 nan nan	C_68 -1.83596564882
C_8 2.06608 nan	C_8 -2.02961110087
C_87 nan nan	C_87 -1.94632995791
C_89 3.01783 nan	C_89 -1.87544549498
C_9 2.84396 nan	C_9 -2.04660034609
O_130 nan 0.846136	O_130 -2.14989399295
O_137 nan -0.656707	O_137 -1.84905380572
O_139 nan 0.369608	O_139 -2.06971421356
O_147 nan -0.315886	O_147 -2.40191483665
O_149 nan -0.150294	O_149 -2.22665373931
O_150 nan 0.72389	O_150 -2.21994840413
O_154 nan 0.605609	O_154 -2.22007470184
O_155 nan -0.0526178	O_155 -2.22775543337
O_16 nan 1.50594	O_16 -2.3539448436
O_162 nan 0.20417	O_162 -2.7972597619
O_164 nan 0.84978	O_164 -2.11818371795
O_166 nan 1.21795	O_166 -1.89897837652
O_167 nan 1.41969	O_167 -2.09217739105
O_171 nan 1.51957	O_171 -2.40421035134
O_174 nan 0.941765	O_174 -2.21445812285
O_175 nan 0.843852	O_175 -2.23748238149
O_182 nan 1.13298	O_182 -2.01008565426
O_185 nan 0.904738	O_185 -1.88768852535
O_186 nan 1.12174	O_186 -1.94894282341
O_187 nan 1.3226	O_187 -2.08047324297
O_19 nan 1.32746	O_19 -2.62502591434
O_210 nan 0.392317	O_210 -2.93867365519
O_226 nan -0.382607	O_226 -3.14803428296
O_227 nan 0.454389	O_227 -1.70851340619
O_228 nan 1.41237	O_228 -2.12483030207
O_229 nan -0.0210407	O_229 -1.88429869499
O_230 nan 0.62164	O_230 -1.9719207741
O_231 nan 0.347842	O_231 -1.78826414214
O_232 nan 1.05721	O_232 -1.83551357638
O_234 nan 0.740026	O_234 -2.12677182022
O_236 nan -0.083407	O_236 -2.0381318351
O_237 nan 0.604159	O_237 -2.01341366768
O_238 nan 0.937288	O_238 -2.48471015053
O_239 nan 0.633629	O_239 -2.75177770805
O_26 nan 0.533732	O_26 -1.98825982149
O_32 nan 0.282648	O_32 -2.57763653479
O_37 nan 0.455557	O_37 -2.00900553969
O_38 nan -0.240163	O_38 -2.05237965402
O_39 nan 0.29163	O_39 -2.16987862363
O_43 nan -0.0153378	O_43 -1.86241616894
O_45 nan 1.11539	O_45 -2.55867809222
O_46 nan -0.144906	O_46 -2.068892815
O_47 nan 1.00419	O_47 -2.1142201821
O_48 nan 0.859475	O_48 -2.22564888785
O_6 nan 1.00098	O_6 -2.38677808844
O_63 nan 0.81094	O_63 -2.40933498046
O_64 nan 0.268402	O_64 -2.39380636613
O_7 nan -0.388517	O_7 -2.49152594934
O_72 nan 1.34232	O_72 -2.22145114863
O_81 nan 1.07543	O_81 -2.79939257214
O_84 nan 0.653923	O_84 -1.86345237553
O_90 nan 0.878288	O_90 -2.26171001776
O_95 nan 0.423893	O_95 -2.71260679105
O_96 nan 0.4026	O_96 -2.7024894479
